number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontypeprice 1976,edition 1976,price 1977,edition 1977,price 1978,edition 1978,price 1979,edition 1979,price 1980,edition 1980
841,Азербайджанский медицинский журнал,Азэрба)чан тпбб журналы,,/ М-во здравоохранения АзССР.:,1925,—Баку,1976—Ежемес. Азерб. и рус. яз.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,30.0,9415.0,40.0,9088.0,40.0,8888.0,40.0,8890.0,40.0,8053.0
842,Бюллетень Всемирной организацииздравоохранения.,,,/,,— Женева,"1976 —Изд. на рус. яз. с 1964 (М. : Медицина). Двухмес. (1976—1978 ежегодно выходило 2 тома по 6 вып. в томе). Парал. загл. на англ, яз.: Bulletin of the World Health Organization.",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,85.0,,85.0,,85.0,,85.0,,85.0,
413,Бюллетень экспериментальной биологии и медицины. М,См. 413.,См. 413.,См. 413.,См. 413.,См. 413.,См. 413.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,См. 413.,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,,,,,,,,,,
843,Вестник Академии медицинских на-ук СССР,,Ежемес. пауч.-теорст. журн.,,1946,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,60.0,2483.0,60.0,2550.0,60.0,2455.0,60.0,2438.0,60.0,2436.0
844,Вопросы медицинской химии,,Двух-мес. науч.-теорет. журн.,/ АА4Н СССР:,1955,— М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976— 1978 отсутствует.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двух-мес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,80.0,2135.0,80.0,2043.0,80.0,2082.0,80.0,2041.0,80.0,1908.0
845,Вопросы охраны материнства и детства,,Ежемес. науч.-практ. журн.,/ А4-во здравоохранения РСФСР.,1956,—	М. : Медицина,1976—Рез. на англ. яз. Подзаг.: 1976—1978	отсутствует.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,27711.0,40.0,28065.0,40.0,28739.0,40.0,26974.0,40.0,28669.0
846,Врачебное дело,,Ежемес. науч.-практ. жури.,/ М-во здравоохранения УССР.,1918,— Киев,1976—	.Рез. на англ. яз. Подзаг.: 1976—1979	№ 9 отсутствует.,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,22406.0,50.0,20850.0,50.0,18701.0,50.0,17371.0,50.0,16140.0
847,Журнал экспериментальной и клинической медицины,,,/ АН АрмССР.,1961,—	Ереван,"1976—Двухмес. Парал. загл. на арм. яз. : Экспериментал ев клиникакан бжшкутян ан-дес. Рез. на англ, и арм. яз.",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,40.0,1230.0,40.0,1230.0,40.0,1215.0,40.0,1055.0,40.0,940.0
848,Здоровье,,Ежемес. науч.-попул. журн. м-в здравоохранения СССР и РСФСР.,м-в здравоохранения СССР и РСФСР.,1955,— А4. : Правда,1976—,﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,25.0,11850000.0,25.0,11850000.0,25.0,11690000.0,25.0,11865000.0,25.0,12050000.0
849,Здоровье,Vesellba,Науч.-попул.журн. А4-ва здравоохранения ЛатвССР.,А4-ва здравоохранения ЛатвССР.,1958,— Рига : Изд-во ЦК КПЛатвии,"1976—Ежемес. Латыш, яз.",﻿37.	ЗДРАВООХРАНЕНИЕ. МЕДИЦИНСКИЕ НАУКИОбщие вопросы. Организация здравоохранения. Медицинская промышленность. Медицинская техника,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1976 - 1980,журнал,20.0,180500.0,20.0,185000.0,20.0,184000.0,20.0,184500.0,20.0,186500.0
