number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1971,edition 1971,price 1972,edition 1972,price 1973,edition 1973,price 1974,edition 1974,price 1975,edition 1975
643,Азербайджанский медицинский журнал ,Азэрбачан тибб журналы,,М-во здравоохранения АзССР,1925,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,30.0,9233.0,30.0,9215.0,30.0,9680.0,30.0,9410.0,30.0,9215.0
644,Акушерство и гинекология,,,М-во здравоохранения СССР. Всесоюз. науч. о-во акушеров-гинекологов,1922,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,30.0,66057.0,30.0,69031.0,30.0,70824.0,30.0,73321.0,30.0,74303.0
645,Антибиотики,,,М-во здравоохранения СССР. Всесоюз. науч. о-во микробиологов и эпидемиологов им. И. И. Мечникова,1956,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,45.0,4323.0,45.0,4241.0,45.0,4154.0,45.0,4078.0,45.0,4219.0
646,Архив патологии,,,Акад. мед. наук СССР. Всесоюз. науч. о-во патологоанатомов,1935,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,50.0,4472.0,50.0,4720.0,50.0,5354.0,50.0,5634.0,50.0,6152.0
647,Бюллетень Всемирной организации здравоохранения,,,"М., «Медицина»",1964,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,2 раза в год,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,85.0,,85.0,,85.0,,85.0,,85.0,
648,Бюллетень экспериментальной биологии и медицины,,,Акад. мед. наук СССР,1936,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,80.0,2168.0,80.0,2141.0,80.0,2185.0,80.0,2129.0,80.0,2158.0
649,Вестник Академии медицинских наук СССР,,,Акад. мед. наук СССР,1946,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,60.0,2454.0,60.0,2454.0,60.0,2454.0,60.0,2454.0,60.0,2457.0
650,Вестник дерматологии и венерологии,,,М-во здравоохраненияСССР. Всесоюз. науч. о-во дерматологов и венерологов,1924,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,40.0,12307.0,40.0,12652.0,40.0,13265.0,40.0,13942.0,40.0,13881.0
651,Вестник оториноларингологии,,,М-во здравоохранения СССР.Всесоюз. науч. о-во оториноларингологов,1936,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,50.0,14050.0,50.0,14750.0,50.0,15300.0,50.0,15750.0,50.0,16174.0
652,Вестник офтальмологии,,,М-во здравоохранения СССР. Всесоюз. науч. о-во офтальмологов,1884,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,45.0,13914.0,45.0,14527.0,45.0,14977.0,45.0,15281.0,45.0,15414.0
653,Вестник рентгенологии и радиологии,,,М-во здравоохранения СССР. Всесоюз. науч. о-во рентгенологов и радиологов,1920,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Двухмес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,50.0,17317.0,50.0,17805.0,50.0,18661.0,50.0,19216.0,50.0,19599.0
654,Вестник хирургии им,,,"М-во здравоохранения СССР. Всесоюз. о-во хирургов. Хирург, о-во Пирогова",1885,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,60.0,17152.0,60.0,17977.0,60.0,19872.0,60.0,21212.0,60.0,22842.0
655,Военно-медицинский журнал,,,"Центр, воен.-мед. упр. М-ва обороны СССР",1823,,,﻿30. ЗДРАВООХРАНЕНИЕ. МЕДИЦИНА,Ежемес,Летопись печатных и периодических изданий СССР. Журналы. 1971 - 1975,журнал,30.0,,30.0,,30.0,,30.0,,30.0,
