number,title,local_title,title_data,organization,first_year,place,additional_data,heading,period,source,editiontype,price 1961,edition 1961,price 1962,edition 1962,price 1963,edition 1963,price 1964,edition 1964,price 1965,edition 1965
4223,Азербайджанский медицинский журнал ,Азэрбаj'чан тибб журналы,,М-во здравоохранения АзССР,1925,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,3375.0,30.0,3313.0,30.0,3560.0,30.0,2045.0,30.0,4475.0
4224,Бюллетень Всемирной организации здравоохранения,,,Всемирная организация ^хранения.,1964,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,85.0,,85.0,,85.0,,85.0,,85.0,
4225,Бюллетень экспериментальной биологии и медицины,,,Акад. мед. наук СССР,1936,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,80.0,2545.0,80.0,2554.0,,,80.0,2386.0,,
4226,Вестник Академии медицинских наук СССР,,,,1946,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,60.0,2974.0,,,,,60.0,3030.0,60.0,2873.0
4227,Военно-медицинский журнал,,,Центр. воен-мед. упр. М-ва обороны СССР,1923,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,,30.0,,30.0,,30.0,,30.0,
4228,Вопросы медицинской химии,,,М-во Здравоохраиения СССР,,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,65.0,2366.0,65.0,2345.0,65.0,2408.0,65.0,2345.0,,
4229,Вопросы питания,,,М-во здравоохранения СССР,1932,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,50.0,8579.0,50.0,8025.0,50.0,7999.0,50.0,7074.0,,
4230,Врачебное дело,,,М-во здравоохранения УССР,1918,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,40.0,13643.0,40.0,14660.0,40.0,14078.0,40.0,12349.0,40.0,12873.0
4231,Журнал экспериментальной и клинической медицины ,Экспериментал ев кли-иикакан бжшкутян андес,,Акад. наук Арм. ССР,1961,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Двухмес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,30.0,600.0,30.0,600.0,30.0,730.0,30.0,660.0,30.0,705.0
4232,Здоровье,,,министерств здравоохранения СССР и РСФСР.,1955,,,﻿а)Общие вопросы. Медицинские издания смешанного содержания. Организация здравоохранения. История медицины.Медицинская статистика. Общество Красного Креста. Военная медицина,Ежемес,Летопись печатных и периодических изданий СССР. 1961 - 1965,ЖУРНАЛЫ,,,20.0,800000.0,20.0,900000.0,20.0,1200000.0,20.0,2400000.0
